Frame,X0,Y0,Width0,Height0
113,11,172,13,12
114,11,172,13,12
135,10,166,11,12
140,10,162,12,14
141,10,162,12,14
142,10,160,13,15
143,10,160,13,16
144,10,160,13,15
145,10,160,13,15
146,10,160,12,15
147,10,160,12,15
148,11,160,13,14
149,11,160,14,14
150,11,160,14,13
151,11,160,14,13
152,11,160,14,13
153,11,160,14,13
154,11,160,14,13
155,11,160,14,13
156,11,160,14,13
157,11,160,14,13
158,11,160,14,12
159,11,160,14,12
164,11,159,15,13
165,11,160,14,12
166,10,160,15,12
167,10,160,15,13
168,10,160,15,13
169,10,160,15,12
170,10,160,12,12
171,10,160,11,12
198,10,159,12,13
204,11,160,15,12
205,11,161,12,12
236,11,173,11,12
237,11,173,11,13
238,11,173,11,13
240,11,174,10,13
417,12,164,12,12
423,12,160,12,12
488,14,140,13,12
536,8,171,14,11
751,15,128,11,14
752,15,128,11,14
814,12,139,11,13
829,9,157,13,12
844,10,174,10,14
1003,10,170,14,11
1035,16,129,11,13
1036,17,128,10,15
1037,17,126,10,17
1098,19,116,11,13
1110,16,127,12,15
1123,14,139,10,14
1132,10,157,13,12
1134,10,160,12,12
1136,11,164,11,13
1143,9,173,16,13
1144,11,174,11,13
1300,13,174,10,13
1301,13,172,13,13
1417,17,128,10,14
1433,8,155,14,12
1434,8,156,15,12
1436,11,158,14,13
1442,12,172,13,14
1443,12,174,11,13
1444,12,174,13,14
1600,12,172,12,13
1605,10,162,12,12
1606,11,160,12,12
1624,16,128,12,14
1625,16,126,13,12
1716,17,118,13,14
1721,14,128,11,13
1738,9,162,11,14
1904,11,163,11,13
1922,16,128,11,14
1923,17,126,13,12
2036,11,160,11,14
2214,17,140,11,13
2220,18,130,12,12
2221,19,128,10,14
2222,19,126,11,16
2323,16,129,11,13
2335,11,160,13,16
2336,11,162,13,14
2341,10,172,12,12
2342,10,172,13,14
2343,11,173,14,15
2344,12,174,12,16
2499,13,172,13,12
2522,19,123,11,14
2621,16,127,10,15
2631,9,152,12,14
2636,10,161,11,15
2640,6,172,15,11
2641,9,172,14,13
3102,12,162,10,14
3119,16,129,10,13
3120,16,127,11,15
3236,10,163,10,15
3399,10,169,12,12
3401,12,163,11,14
3402,12,161,11,13
3403,11,160,12,13
3513,19,113,11,13
3533,10,156,12,13
3535,10,160,10,16
3541,10,174,10,13
3811,20,112,10,13
3834,9,161,11,12
3836,9,165,11,13
4004,11,161,12,13
4016,15,138,11,13
4023,17,128,11,14
4024,17,127,11,13
4026,18,124,12,13
4114,16,128,11,14
4134,11,162,11,13
4135,11,164,11,13
4140,12,174,10,14
4300,12,171,14,13
4304,12,166,11,13
4305,12,164,11,14
4324,16,138,9,15
4340,17,128,11,14
4341,17,127,11,15
4388,17,127,11,15
4389,17,128,10,14
4405,14,138,11,14
4406,14,138,12,14
4407,14,138,11,14
4422,11,158,12,12
4424,11,160,12,12
4437,12,172,12,12
4440,12,174,11,13
4616,14,164,11,13
4620,14,162,12,13
4621,14,162,12,12
4622,14,162,12,12
4624,14,160,12,13
4625,14,160,16,12
4681,14,159,12,12
4685,14,159,12,12
4691,14,159,12,12
4693,14,162,12,12
4721,14,173,12,12
4728,14,173,11,13
4729,14,173,12,13
4732,14,174,11,13
